Baseline 100%T,,sample1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
351.0332642,0.126589179,351.0332642,0.003352480941,
349.9436951,0.1256402284,349.9436951,0.003595101647,
349.0096436,0.1256790161,349.0096436,0.003443141235,
348.07547,0.126266852,348.07547,0.003608439583,
346.9854431,0.1260727793,346.9854431,0.003627859754,
346.0510254,0.1259467006,346.0510254,0.003657879308,
344.9606934,0.1257404238,344.9606934,0.003819655627,
344.026001,0.1255813539,344.026001,0.00390976062,
342.9353638,0.1252556592,342.9353638,0.003814667696,
342.0004272,0.1250290722,342.0004272,0.003906860948,
341.0653687,0.1246846467,341.0653687,0.004028439987,
339.9742737,0.1245104522,339.9742737,0.004156037699,
339.0389709,0.124375686,339.0389709,0.004160036799,
337.9476013,0.1238586307,337.9476013,0.00451161759,
337.0120239,0.123843208,337.0120239,0.004270758945,
336.0763245,0.1235904098,336.0763245,0.00438226806,
334.9845276,0.1233156845,334.9845276,0.004510153085,
334.048584,0.1229622364,334.048584,0.004649797454,
332.9564819,0.122930184,332.9564819,0.004587425385,
332.0202942,0.1226791516,332.0202942,0.004565476906,
330.9279175,0.1225576252,330.9279175,0.004744994454,
329.9914551,0.1224578843,329.9914551,0.004597078543,
329.0549011,0.1222785041,329.0549011,0.004757713526,
327.9620972,0.1222343966,327.9620972,0.004808540922,
327.0252991,0.1220864803,327.0252991,0.004823250696,
325.9321899,0.1218742505,325.9321899,0.005020367447,
324.9951477,0.1218830571,324.9951477,0.005011699628,
324.0579834,0.1219746098,324.0579834,0.004952705931,
322.9644775,0.1222075745,322.9644775,0.005090187769,
322.0270691,0.1222228035,322.0270691,0.005159206688,
320.9332886,0.1223242357,320.9332886,0.005212465301,
319.995636,0.1223941967,319.995636,0.005234996323,
319.0578613,0.1224301532,319.0578613,0.005352728534,
317.9636536,0.1226274818,317.9636536,0.00551605504,
317.0256653,0.122738488,317.0256653,0.005485696718,
315.9311829,0.1224501953,315.9311829,0.005668532569,
314.9929504,0.1224520877,314.9929504,0.005827334244,
314.0545959,0.1225802824,314.0545959,0.005804168992,
312.9597168,0.1225646585,312.9597168,0.005913658068,
312.0211182,0.1225217879,312.0211182,0.005934074055,
310.9259644,0.1237139851,310.9259644,0.006016980857,
309.9871521,0.123746343,309.9871521,0.006259493064,
309.0482483,0.1223692521,309.0482483,0.006220574491,
307.9526978,0.1225663051,307.9526978,0.006438319571,
307.0135193,0.1227322072,307.0135193,0.006374272052,
306.0742493,0.1227217317,306.0742493,0.006648052018,
304.9783325,0.1238111556,304.9783325,0.006998497061,
304.0388184,0.1237831041,304.0388184,0.007213579491,
302.942627,0.1238320917,302.942627,0.007373737171,
302.0028992,0.1237612441,302.0028992,0.007741949521,
301.0630798,0.123828128,301.0630798,0.008134607226,
299.9664612,0.1238173544,299.9664612,0.008467724547,
299.0264282,0.1237823144,299.0264282,0.008858582005,
297.9295654,0.1235114858,297.9295654,0.009331323206,
296.9892883,0.1236681789,296.9892883,0.009999283589,
296.0488892,0.1238622144,296.0488892,0.01041856594,
294.9516602,0.1234919131,294.9516602,0.01144307293,
294.0110474,0.1234505326,294.0110474,0.01226031687,
293.070343,0.123191677,293.070343,0.01341341715,
291.9727478,0.1228871047,291.9727478,0.01517445501,
291.0318298,0.1229043156,291.0318298,0.01682185568,
289.93396,0.1232366711,289.93396,0.0188071318,
288.9927979,0.1232718453,288.9927979,0.02028936893,
288.0515747,0.1233283728,288.0515747,0.02180272713,
286.9533081,0.1231291145,286.9533081,0.02374210954,
286.0118713,0.1232947484,286.0118713,0.02540178224,
285.0703125,0.1234129369,285.0703125,0.02665156685,
283.9717102,0.1236498356,283.9717102,0.02765240148,
283.0299377,0.1235673577,283.0299377,0.02830158547,
281.9310608,0.123903431,281.9310608,0.02923847362,
280.9890747,0.1241376325,280.9890747,0.0299978368,
280.0469971,0.124337256,280.0469971,0.03054171428,
278.9477844,0.1245499328,278.9477844,0.03092911094,
278.0054932,0.1246557385,278.0054932,0.03124580346,
277.0631104,0.1246901304,277.0631104,0.03138290718,
275.9635315,0.1243523806,275.9635315,0.03165117651,
275.0209351,0.1239626929,275.0209351,0.03154043108,
274.0782471,0.1233372837,274.0782471,0.03160262108,
272.9783325,0.1225765347,272.9783325,0.0318595171,
272.0354309,0.1218531057,272.0354309,0.03175169975,
270.9352722,0.1202058494,270.9352722,0.03166579083,
269.9921875,0.121697478,269.9921875,0.03196557984,
269.0489807,0.1217181385,269.0489807,0.03200358525,
267.9484863,0.1216631904,267.9484863,0.03197349235,
267.0050964,0.1216337979,267.0050964,0.03208755329,
266.0615845,0.1205376163,266.0615845,0.03231300414,
264.9607544,0.1205191687,264.9607544,0.03264717385,
264.0170593,0.1218919381,264.0170593,0.03256672621,
263.0732727,0.1218632162,263.0732727,0.03258770704,
261.9721069,0.1217458174,261.9721069,0.0332085751,
261.0281067,0.1217257753,261.0281067,0.03377020359,
259.9266968,0.1215523556,259.9266968,0.03441464901,

Baseline 100%T,
Baseline 100%T
Collection Time: 11.12.2023 17:58:24
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 50
Instrument Version                3.00
Start (nm)                        650.0
Stop (nm)                         260.0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         300.00
UV-Vis Data Interval (nm)         1.00
UV-Vis Ave. Time (sec)            0.2000
Beam Mode                         Dual Beam
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : Default
Date/Time stamp: 11.12.2023 17:46:46
Method Modifications:
Cell Changer 6x6 Changed: 11.12.2023 17:46:52, Old:1, New:0
UVVIS SAT Changed: 11.12.2023 17:58:16, Old:0.0125, New:0.2000
NIR SAT Changed: 11.12.2023 17:58:16, Old:0.0125, New:0.2000
Common SAT Changed: 11.12.2023 17:58:16, Old:0.0125, New:0.2000
Baseline Correction Changed: 11.12.2023 17:58:21, Old:0, New:1
Temp Controller Changed: 11.12.2023 17:58:21, Old:0, New:2
Sipper Type Changed: 11.12.2023 17:58:21, Old:Internal RSA, New:External sipper
End Method Modifications
