 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
161,340,5036.3413,1797.0236,1444,10139,340,4509.0264,1753.1202,1442,11249
162,340,5116.4028,1829.3181,1506,10020,340,4535.6265,1777.8468,1465,11051
163,340,5017.2822,1825.7684,1655,9703,340,4490.2588,1739.5942,1267,10177
164,340,5054.5410,1819.0295,1651,9890,340,4540.2939,1713.2983,1264,11080
165,340,4988.2764,1788.5343,1451,9986,340,4462.9087,1639.0903,1726,10931
166,340,5069.7793,1799.3126,1763,10205,340,4474.3472,1662.8156,1238,9955
167,340,4968.5679,1744.8221,1724,9869,340,4439.1030,1646.6763,1397,9652
168,340,5028.0557,1779.5026,1782,9663,340,4504.4028,1701.4319,1266,10526
169,340,4938.3384,1757.5353,1381,9356,340,4469.1973,1683.5083,1062,10568
170,340,4935.9116,1777.1288,1826,9595,340,4427.1821,1705.2867,1096,10824
171,340,4929.3115,1779.8950,1388,9755,340,4413.6001,1664.1769,1406,10196
172,340,4965.7119,1774.2079,1192,10424,340,4447.6973,1658.0458,1207,9794
173,340,4892.6792,1750.8928,1538,9544,340,4430.1470,1634.1473,1193,9960
174,340,4914.8057,1770.9550,1542,9685,340,4413.3384,1668.8253,1039,10440
175,340,4890.1943,1757.2698,1623,10094,340,4449.1118,1627.2987,1390,9447
176,340,4840.6411,1765.3739,1463,9755,340,4358.7764,1634.9310,1417,9376
177,340,4878.7148,1760.2520,1557,9436,340,4437.8267,1613.2842,1395,9268
178,340,4800.1587,1757.6359,1419,9479,340,4319.5352,1564.3268,1429,8715
179,340,4872.4263,1801.3630,1537,10494,340,4460.2939,1650.6293,1115,10261
180,340,4838.7734,1749.3568,1504,9870,340,4327.1704,1596.4103,1394,8868
181,340,4890.2383,1767.7654,1438,10572,340,4424.1147,1635.1007,1552,9298
182,340,4758.3735,1747.8860,1399,10623,340,4281.8823,1589.5500,1389,9079
183,340,4840.1558,1798.7520,1400,9985,340,4402.2178,1654.6462,1228,9389
184,340,4746.7734,1710.1888,1443,9408,340,4284.9385,1529.2354,1394,9589
185,340,4814.0586,1702.6947,1464,9996,340,4355.5527,1581.5237,1196,9000
186,340,4736.8325,1712.1346,1520,10244,340,4337.4648,1578.7059,1292,8921
187,340,4715.5381,1719.9224,1317,9370,340,4324.2354,1558.3162,1143,9232
188,340,4724.2061,1724.5659,1324,9447,340,4342.7119,1581.6470,1539,9395
189,340,4734.0381,1735.7581,1257,9150,340,4271.6885,1589.9919,1444,9061
